institution_name,category,status,revocation_date,receiver,legal_basis,source_document
1ST EYE MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ABEPA MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ACEA MICROFINANCE CO. LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ADOM SIKA MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ADVALUE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
AE MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
AF MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
AFRIQUE CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
AKAD MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
AKI MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ALL GHANA MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ALL INCLUSIVE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ALLIANCETRUST MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
AMISGOLD MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
A-N MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
A-ONE TRUST MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
APPIADUMAN MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ASPET-A MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
A-STAR MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
AXIS DIRECT MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BENKOSON MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BEST MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BLUEHILLS MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BOAFO NE NYAME MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BODEV MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BOIN MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BONAMAX MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BRITE LIFE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
BROADVIEW CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CAPITAL AND MORE MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CAPITAL CONNECT MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CASH MULTITRUST MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CASHPHASE MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CASHPLUS MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CHRISTIAN COMMUNITY MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CITIZEN CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CITY CREDIT MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CONNECT CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
COTTAGE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CREDABILITY INVESTMENT AND MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CROWN CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CROWN HOUSE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CYMAIN CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
CYPRESS MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DAHINSHELI MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DAILY CAPITAL MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DATACASH MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DBM MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DELIGHT MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DES MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DOLPHIN MICROFINANCE SERVICES LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DONEWEALTH MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DOVE MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DPF MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
D-VANC MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
DWETIRE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
EASYFAST MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
EBENEZER MICROFINANCE COMPANY LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
ECLIPSE MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
EMEFS MICROFINANCE LIMITED,Microfinance,Insolvent,2019-05-31,Eric Nipah (PwC),Act 930 s.123(1),"BoG Notice, 31 May 2019 (microfinance)"
