institution_name,net_worth_ghs_million,net_worth_unit,capital_adequacy_ratio_pct,incorporated,related_party_issues,governance_failure,liquidity_failure,misreporting,high_npl
Accent Financial Services Limited,-55.76,million,-144.30,"21st November, 2012",Y,Y,Y,Y,Y
Adom Savings And Loans Limited,-9.60,million,-126.23,January 2010,Y,Y,Y,,Y
Alltime Finance Limited,-23.15,million,-47.41,,Y,,Y,Y,
Alpha Capital Savings And Loans Ltd.,-11.51,million,-81.05,,,,Y,,
Asn Financial Services Limited,,,-81.39,,Y,Y,Y,,Y
Cdh Savings And Loans Ltd.,-171.36,million,-35.90,,,,Y,Y,Y
Commerz Savings And Loans Limited,-40.99,million,-126.15,,,,Y,,Y
Crest Finance House Limited,-17.55,million,-6873.50,,Y,Y,Y,,Y
Dream Finance Limited,-333.46,million,-7508.10,,Y,Y,Y,Y,
Express Savings And Loan Limited,-119.83,million,-610.52,,Y,,Y,,
First Allied Savings And Loans Limited,-661.84,million,-263.21,,,,Y,Y,Y
First African Savings And Loans Limited,-22.29,million,-90.15,November 1993,Y,,Y,,Y
First Ghana Savings And Loans Limited,-14.08,million,-54.47,,,,,,
Firstrust Savings And Loans Limited,-175.90,million,-132.96,,Y,Y,Y,,
Global Access Savings And Loans Company Limited,-58.19,million,-195.06,February 2000,,,Y,Y,
Gn Savings And Loans Ltd.,-30.70,million,-61.20,,Y,,Y,,Y
Ideal Finance Limited,-117.5,million,-32.8,,Y,,Y,,Y
Ifs Financial Services Limited,-2.29,million,-18.77,,,,,,
Legacy Capital Savings And Loans Ltd.,-19.52,million,-16.96,,Y,,Y,,Y
Midland Savings And Loans Company Limited,-148.92,million,-311.91,,Y,,Y,,
Sterling Financial Services Limited,,,-1469.39,,,,Y,,
Unicredit Ghana Limited,-221.32,million,-97.83,,Y,,Y,,Y
