institution_name,licence_type,incorporated,licensed,insolvent_since,net_worth_ghs_m,net_worth_as_at,car_pct,car_as_at,branches,related_party_exposure,governance_failure,liquidity_failure,misreporting,high_npl,ignored_bog_recommendations,ceased_ops_without_approval,unauthorised_structural_change,failed_to_publish_accounts,stopped_prudential_returns,cause_count,notes
Accent Financial Services Ltd.,Finance House,2012-11-21,2013-06,2017-03,-55.76,2019-02,-144.3,2019-02,,Y,Y,Y,,Y,,,,,,4,
Adom Savings and Loans Ltd.,Savings and Loans,2010-01,2016-08,2018-08,-9.6,2019-05,-126.23,2019-05,,Y,Y,Y,Y,Y,,,,,,5,
AllTime Finance Ltd.,Finance House,,2017-07,2018-08,-23.15,2019-05,-47.41,2019-05,,Y,Y,Y,Y,,,Y,Y,,,6,
Alpha Capital Savings and Loans Ltd.,Savings and Loans,,2015-01,2016-12,-11.51,2019-05,-81.05,2019-05,,,Y,Y,,,Y,Y,,,Y,5,
ASN Financial Services Ltd.,Savings and Loans,,2014-07-14,2016-10,0.628311,2019-05,-81.39,2019-05,,Y,Y,Y,,Y,Y,,,,,5,"Net worth POSITIVE at GHS 628,311.16 - the only institution of the 23 not reporting a deficit. Still revoked: CAR -81.39%, insolvent since Oct 2016, no functioning board."
CDH Savings and Loans Ltd.,Savings and Loans,2000,2016,2018-09,-171.36,2019-05,-35.9,2019-05,,Y,,Y,Y,Y,,,,,,4,Took over Ivory Finance Company (operating since 2000). Exposure to affiliates at 319% against a 25% regulatory limit.
Commerz Savings and Loans Ltd.,Savings and Loans,,2016-12,,-40.99,2019-05,-126.15,2019-05,,,Y,Y,,Y,,,,,,3,"Formerly Sterling Savings and Loans, part of Nordcom Africa Holdings. Distinct from Sterling Financial Services Ltd. (entry 21)."
Crest Finance House Ltd.,Finance House,1997-09-02,2007-06-05,2015,-17.55,2019-05,-6873.5,2019-05,,Y,Y,Y,,Y,,,Y,,,5,Originally Apex Finance House (1997). Entire loan portfolio non-performing.
Dream Finance Company Ltd.,Finance House,,2013-10-25,2015,-333.46,2019-05,-7508.1,2019-05,,Y,Y,Y,Y,,Y,Y,Y,,,7,Changed name to El Finance Limited and relocated head office without BoG approval. Over-exposed to six related companies.
Express Savings and Loans Company Ltd.,Savings and Loans,,2007-08-14,2016,-119.83,2019-05,-610.52,2019-05,18 (14 closed by May 2019),Y,,,Y,,,,Y,Y,,4,Closed 14 of its 18 branches by May 2019 without BoG approval. Cash reserve ratio 0.23% against a 10% minimum.
First Allied Savings and Loans Co. Ltd.,Savings and Loans,,1996-03-27,2018-03,-661.84,2019-05,-263.21,2019-05,27,Y,,Y,Y,Y,,,,,Y,5,Largest net-worth deficit of the 23. NPLs at 88.89% of the loan portfolio. Deposit liabilities understated to conceal losses. Bank run began June 2018 at the Kumasi and Adabraka branches and spread to all 27.
First African Savings & Loans Company Ltd.,Savings and Loans,1993-11,2009-10,2017-08,-22.29,2019-05,-90.15,2019-05,,Y,,,Y,Y,,,,,,3,
First Ghana Savings and Loans Co. Ltd.,Savings and Loans,1956,2015-03-08,,-14.08,2019-05,-54.47,2019-05,,,Y,Y,,,,,,,,2,"Established 1956 as First Ghana Building Society under the Building Societies Ordinance 1955 - the oldest institution in the dataset, predating independence. Notably few stated causes: no related-party lending, no misreporting, no fraud. A straightforward capital failure."
FirstTrust Savings and Loans Ltd.,Savings and Loans,2007-10-11,2015-01-28,2015,-175.9,2019-05,-132.96,2019-05,,Y,Y,Y,Y,,Y,,,,,5,"Formerly EZI Savings and Loans (licensed 2007), acquired by Ideal Financial Holdings 2014. Cash reserve ratio 0.07% against a 10% minimum."
Global Access Savings and Loans Company Ltd.,Savings and Loans,1998,2009-06-15,2016,-58.19,2019-05,-195.06,2019-05,,Y,,Y,Y,,Y,,,Y,,5,"Began as a Western Union agent for ADB. Assumed a GHS 2.91m loan of the majority shareholder, injected it as equity, and concealed the liability in a suspense account."
GN Savings and Loans Ltd.,Finance House,2006-05-08,2019-01-04,,-30.7,2019-05,-61.2,2019-05,70 suspended,Y,,Y,Y,Y,,,Y,Y,,6,"Formerly First National Savings and Loans; universal banking licence Sep 2014 as GN Bank; reclassified to savings and loans 4 Jan 2019 after failing the GHS 400m minimum capital. GHS 761.55m placed with sister companies (Groupe Nduom). USD 62.26m, GBP 718,528 and EUR 4,200 of depositor funds transferred to a US affiliate without documentation."
Ideal Finance Ltd.,Finance House,2009,2014-12-18,2017,-117.5,2018-11,-32.8,2018-11,,Y,,Y,Y,Y,,,,Y,Y,6,"Figures are as at end-November 2018, not May 2019 - the institution stopped submitting returns after that date. Proposed merger with FirsTrust declined by BoG: both insolvent, merged entity assessed at CAR -78.32%."
IFS Financial Services Ltd.,Savings and Loans,2006-09-01,2007-06-05,2018-12,-2.29,2019-05,-18.77,2019-05,,,,Y,,Y,,,,,,2,
Legacy Capital Savings and Loans Ltd.,Savings and Loans,2013-10-30,2016-08-12,2018-08,-19.52,2019-05,-16.96,2019-05,,Y,,Y,Y,Y,,,,,,4,Operated as a microfinance institution from Oct 2013 before its savings and loans licence in Aug 2016.
Midland Savings and Loans Company Ltd.,Finance House,,1996-10-21,2017-01,-148.92,2019-05,-311.91,2019-05,,Y,,Y,Y,,,,Y,,,4,"Related-party exposure to Liberty Asset Management, Liberty DMI Microfinance and Griffin Financial Services."
Sterling Financial Services Ltd.,Savings and Loans,,1997,2010-03,,,-1469.39,2010-03,,,,Y,,Y,,,Y,,Y,4,"CAR is as at end-MARCH 2010, not 2019. Stopped submitting returns May 2010 and folded operations in 2011 without notifying BoG. Licence not revoked until Aug 2019 - a nine-year gap."
Unicredit Savings and Loans Ltd.,Savings and Loans,1995-10,1995-10,2018-12,-221.32,2019-05,-97.83,2019-05,,Y,,Y,Y,Y,,,,,,4,Formerly Kantamanto Savings and Loans; acquired by Hoda Group 2006. Non-performing exposure of GHS 160.10m to sister company uniSecurities.
Women's World Banking Savings and Loans Co. Ltd.,Savings and Loans,1982-05-31,1996-10,2017-10,-45.56,2019-05,-46.62,2019-05,,,,Y,Y,,Y,,,,,3,
